Step 73/2000, Loss: 0.2662835717201233
Step 74/2000, Loss: 0.2563919126987457
Step 75/2000, Loss: 0.2583698630332947
Step 76/2000, Loss: 0.26283326745033264
Step 77/2000, Loss: 0.2593214809894562
Step 78/2000, Loss: 0.2580164074897766
Step 79/2000, Loss: 0.2544134259223938
Step 80/2000, Loss: 0.2524397671222687
Step 81/2000, Loss: 0.25035321712493896
Step 82/2000, Loss: 0.25349417328834534
Step 83/2000, Loss: 0.24949410557746887
Step 84/2000, Loss: 0.2585505247116089
Step 85/2000, Loss: 0.24596649408340454
Step 86/2000, Loss: 0.24976979196071625
Step 87/2000, Loss: 0.24056769907474518
Step 88/2000, Loss: 0.2362329065799713
Step 89/2000, Loss: 0.2364560067653656
Step 90/2000, Loss: 0.24676913022994995
Step 91/2000, Loss: 0.24709220230579376
Step 92/2000, Loss: 0.23676055669784546
Step 93/2000, Loss: 0.22714117169380188
Step 94/2000, Loss: 0.22292989492416382
Step 95/2000, Loss: 0.22942548990249634
Step 96/2000, Loss: 0.22968603670597076
Step 97/2000, Loss: 0.22771550714969635
Step 98/2000, Loss: 0.22072415053844452
Step 99/2000, Loss: 0.21255305409431458
Step 100/2000, Loss: 0.22140204906463623
Step 101/2000, Loss: 0.21315832436084747
Step 102/2000, Loss: 0.21825483441352844
Step 103/2000, Loss: 0.21501614153385162
Step 104/2000, Loss: 0.21512508392333984
Step 105/2000, Loss: 0.20775993168354034
Step 106/2000, Loss: 0.21360141038894653
Step 107/2000, Loss: 0.2074708640575409
Step 108/2000, Loss: 0.2052740901708603
Step 109/2000, Loss: 0.20678770542144775
Step 110/2000, Loss: 0.21808797121047974
Step 111/2000, Loss: 0.2033785581588745
Step 112/2000, Loss: 0.20927391946315765
Step 113/2000, Loss: 0.21214652061462402
Step 114/2000, Loss: 0.21524226665496826
Step 115/2000, Loss: 0.20683087408542633
Step 116/2000, Loss: 0.18903549015522003
Step 117/2000, Loss: 0.19820168614387512
Step 118/2000, Loss: 0.19698157906532288
Step 119/2000, Loss: 0.19519834220409393
Step 120/2000, Loss: 0.20639745891094208
Step 121/2000, Loss: 0.18967078626155853
Step 122/2000, Loss: 0.18359263241291046
Step 123/2000, Loss: 0.19748376309871674
Step 124/2000, Loss: 0.18250195682048798
Step 125/2000, Loss: 0.18030722439289093
Step 126/2000, Loss: 0.19549386203289032
Step 127/2000, Loss: 0.1898650825023651
Step 128/2000, Loss: 0.19476041197776794
Step 129/2000, Loss: 0.18260957300662994
Step 130/2000, Loss: 0.18223968148231506
Step 131/2000, Loss: 0.19724124670028687
Step 132/2000, Loss: 0.18672530353069305
Step 133/2000, Loss: 0.1829708218574524
Step 134/2000, Loss: 0.17707152664661407
Step 135/2000, Loss: 0.18272851407527924
Step 136/2000, Loss: 0.18593181669712067
Step 137/2000, Loss: 0.19111722707748413
Step 138/2000, Loss: 0.17551343142986298
Step 139/2000, Loss: 0.17854957282543182
Step 140/2000, Loss: 0.18415018916130066
Step 141/2000, Loss: 0.18383502960205078
Step 142/2000, Loss: 0.1814415603876114
Step 143/2000, Loss: 0.1810748428106308
Step 144/2000, Loss: 0.1775669902563095
Step 145/2000, Loss: 0.17253270745277405
Step 146/2000, Loss: 0.18389029800891876
