Step 73/2000, Loss: 0.2651848793029785
Step 74/2000, Loss: 0.25526586174964905
Step 75/2000, Loss: 0.2573365271091461
Step 76/2000, Loss: 0.2616287171840668
Step 77/2000, Loss: 0.25820448994636536
Step 78/2000, Loss: 0.256967693567276
Step 79/2000, Loss: 0.25335758924484253
Step 80/2000, Loss: 0.25143346190452576
Step 81/2000, Loss: 0.2493053525686264
Step 82/2000, Loss: 0.25247156620025635
Step 83/2000, Loss: 0.24828658998012543
Step 84/2000, Loss: 0.25730443000793457
Step 85/2000, Loss: 0.24467776715755463
Step 86/2000, Loss: 0.24840447306632996
Step 87/2000, Loss: 0.23910094797611237
Step 88/2000, Loss: 0.23470556735992432
Step 89/2000, Loss: 0.234821617603302
Step 90/2000, Loss: 0.24517758190631866
Step 91/2000, Loss: 0.24521444737911224
Step 92/2000, Loss: 0.23491668701171875
Step 93/2000, Loss: 0.22534672915935516
Step 94/2000, Loss: 0.22105728089809418
Step 95/2000, Loss: 0.2274457812309265
Step 96/2000, Loss: 0.22764338552951813
Step 97/2000, Loss: 0.22558730840682983
Step 98/2000, Loss: 0.21870581805706024
Step 99/2000, Loss: 0.21034879982471466
Step 100/2000, Loss: 0.21903160214424133
Step 101/2000, Loss: 0.21097302436828613
Step 102/2000, Loss: 0.2159772366285324
Step 103/2000, Loss: 0.21278882026672363
Step 104/2000, Loss: 0.213006392121315
Step 105/2000, Loss: 0.20556055009365082
Step 106/2000, Loss: 0.21145428717136383
Step 107/2000, Loss: 0.20544341206550598
Step 108/2000, Loss: 0.2033228576183319
Step 109/2000, Loss: 0.2049270123243332
Step 110/2000, Loss: 0.216353178024292
Step 111/2000, Loss: 0.20124593377113342
Step 112/2000, Loss: 0.20737192034721375
Step 113/2000, Loss: 0.21036751568317413
Step 114/2000, Loss: 0.21338750422000885
Step 115/2000, Loss: 0.20492994785308838
Step 116/2000, Loss: 0.1871638000011444
Step 117/2000, Loss: 0.19635441899299622
Step 118/2000, Loss: 0.19538192451000214
Step 119/2000, Loss: 0.19370488822460175
Step 120/2000, Loss: 0.20460191369056702
Step 121/2000, Loss: 0.18812668323516846
Step 122/2000, Loss: 0.18189112842082977
Step 123/2000, Loss: 0.1957118660211563
Step 124/2000, Loss: 0.1806098371744156
Step 125/2000, Loss: 0.1786249727010727
Step 126/2000, Loss: 0.19379514455795288
Step 127/2000, Loss: 0.18824690580368042
Step 128/2000, Loss: 0.19267353415489197
Step 129/2000, Loss: 0.1806562840938568
Step 130/2000, Loss: 0.18048077821731567
Step 131/2000, Loss: 0.19546471536159515
